sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
95,57044,RO Bhubneswar,Widening to 2 lane with paved shoulder and strengthening from Km 269/300 to 328/200 of NH-49 in the state of Odisha - Kuchinda Bypass Portion,,35,0,35,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57044
96,57055,(RO Jaipur),In principle approved NH from sirsa -nohar -taranagar -churu in the state of Rajasthan in the District of Churu,,500,110,390,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57055
97,57069,(RO Jaipur),in principle approved NH dudu -sambhar -narayana -kuchaman city -chhoti khatu road in the state of rajasthan in the district of jaipur .,,357,199,158,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57069
98,57095,RO Raipur,CONSULTANCY SERVICES FOR PROJECT MANAGEMENT PHASE - 1 INCLUDING PREPRATION OF DETAILED PROJECT REPORT FOR UPGRADATION TO TWO / FOUR LANE WITH PAVED SHOULDER UNDER CORRIDOR SCHEME ON EPC BASIS OF NH / CE / PWD / 12 AND 13 AMBIKAPUR - RAMANUJGANG ROAD AND KEONCHI KABIR CHABUTRA ROAD OF TENTATIVE LENGHT 15 . 535 KM IN THE STATE OF CHHATTISGARH,,41.106,0.9,40.206,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57095
99,57126,CE-NH (PWD) Punjab,"FOUR -LANING OF EXISTING TWO LANE ROAD FROM MORINDA (PREM NAGAR ,NEAR NH-05)- BASSI PATHANA -FATEHGARH SAHIB INCLUDING NORTH WESTERN BYPASS PATIALA ,UPTO NH-7(OLD NH-64) FROM KM :0.000 TO KM. 64.010",,482.338,184.649,297.689,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57126
100,57153,CE-NH (PWD) Punjab,Banga on NH-344A-Garhshankar-Anandpur Sahib-Naina Devi,,145.307,89.49,55.817,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57153
101,57157,RO Patna,Acquisition of land National Highway No. -106 ( Birpur- Bihpur Section ) From Km. 106.00 to Km 136.00 in the state of Bihar.,,41.78,8.72,33.06,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57157
102,57160,(RO Dehradun),Additional Land Acquisition on NH-94 from Paul Gaon to Jankichatti km from 50.900 to km 97.900,,30,0,30,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57160
103,57164,RO Patna,Construction of ROB at Km 46 of NH-131 A in lieu of L.C. NO. KT-2 2/B class in the State of Bihar.,,3.866,0.87,2.996,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57164
104,57166,CE-NH (PWD) Punjab,"Development of Budhlada to Ratia road from Km 0.00 to 20.55 in the State of Punjab- Appointment of Competent Authority for Land Acquisition as per Nh Act, 1956 reg.",,64.93,61.67,3.26,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57166
105,57169,(RO Chennai),Construction of Bagalur Bypass from Km 3.00 to Km 9.350 of NH-207 in the State of Tamil Nadu,,22.128,0,22.128,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57169
106,57170,(RO Lucknow),Acquisition of Land for Interconnectivity amongst National Highways around Pratapgarh city (Pratapgarh Bypass on NH 96) in the state of Uttar Pradesh,,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57170
107,57171,RO Ranchi,Widening and Strengthening to 2-lane with paved shoulder & geometric improvement From km 216.000 to 244.482 of NH-114A,,39.62,0,39.62,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57171
108,57174,RO Bhubneswar,"Widening and strengthening of existing SL, IL & DL to two lane with paved shoulder from Km 246.100 to 321.000 (Except Km 292/164 to 307/934 and Km 314/130 to 321/00) of NH-53 in the state of Odisha (Left out Plots)",,4.735,0,4.735,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57174
109,57176,CE-NH (PWD) Punjab,Development of Punjab/Haryana Border to Moonak-Jakhal-Budhlada-Bhikhi from Km. 236.600 to 287.710 section of NH-148B in the State of Punjab,,168.27,126.974,41.296,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57176
110,57202,CE-NH (PWD) Uttar Pradesh,"Construction of a new 6-lane Bridge with its approaches across River Ganga on NH-96 at Phaphamau, Allahabad in Uttar Pradesh on EPC mode.",,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57202
111,57203,RO Vijayawada,Rehabilitation and up-gradation of Losari to Machavaram section from Km 34/230 to Km 84/550 of NH-214(New NH-216) to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV on EPC mode,,110,26.45,83.55,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57203
112,57211,(RO Chennai),Upgradation to 2-lane/4-lane with paved shoulder configuration of Valliyur - Thiruchendur road (In-Principle NH) in the State of Tamil Nadu,,138.8479,81.6793,57.1686,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57211
113,57218,(RO kolkata),Construction of ROB and its appraoches in lieu of level crossing No. 21/SPL/E at km 338.600 of NH-60(Suri),,2.11,0,2.11,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57218
114,57223,(RO kolkata),Construction of ROB and its approaches in lieu of existing RUB (Rly. Km 31/22-24) between Bhedia & Bolapur in Bhedia at km 41.760 of NH-2B in West Bengal.,,6.57,0,6.57,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57223
115,57224,CE-NH (PWD) Gujrat,Upgradation to Four lane with paved shoulder configuration from Kalavad - Jamnagar section (Package-2) of NH-927D from Km. 50+925 of SH-26 (Old) to Km. 4+700 of SH-26 in the state of Gujarat (Package No.-NH/IAHE/18),,197.8951,47.429,150.4661,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57224
116,57225,(RO kolkata),Construction of ROB and its approaches in lieu of Level Crossing No. 6/B/T at km 284.170 on NH-60 (Topsi),,6.1695669,0,6.1695669,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57225
117,57235,CE-NH (PWD Mahrashtra),"Rehabilation and upgradation to two lane with paved sholders of existing km 44+700 (NH-353I, Seldoh junction ) to km 54+780 (nh-353I kandhali junction & from existing km. 54+780 (nh-353I, kandhali junction) to km 94+120 (nh-353Ipavnar junction (design km.39.200 to km. 88.620, excluding sindhi railway ROB approach from km.44.630 to km.45.430)of NH-353I in the state of maharashtra on EPC mode.",,116.633,84.1727,32.4603,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57235
118,57239,(RO Dehradun),Consultancy Services for Preparation of Detailed Project Report (DPR) for Rehabilitation and up-gradation to 2 lane/ 2 lane with paved shoulder configuration & strengthening from Km 228.00 (Rishikesh) to Km 368.00 (Rudraprayag) of NH-58 in the State of Uttarakhand.,,221.278,197.9968,23.2812,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57239
119,57241,CE-NH (PWD Mahrashtra),"Rehabilation and upgradation of Wardha-Arvi from km 0+00 (Wardha ) to km 53+708 (Arvi) of NH -647 to two Lane with paved shoulders in the state of maharashtra on engineering, Procurement & Construction (EPC) Contract basis.",,99.773,97.365,2.408,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57241
120,57242,CE-NH (PWD Mahrashtra),"Rehabilation and upgradation of Salaikhurdrvi -Nawegaon-Tirora section of NH-753, from existing KM120+100 (Salaikhurd) to km 163+200 (Tirora) (design km 44.000 to km 87.000) excluding 0.80 km length from km. 58+700 to km. 59+500 (ROB at Tumsar) (42.200 km) of NH-753 to two lane with pave shoulder configuration in the state of maharashtra on EPC mode.",,70.79,63.8405,6.9495,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57242
121,57243,CE-NH (PWD Mahrashtra),Estimate of upgradation to two lane with paved shoulder/four lane configuration for the work from Km.109/790 to KM.163/050 of Nilajphata to Bhandara phata section of NH-247 on EPC mode in the state of Maharashtra.,,150,140.4,9.6,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57243
122,57245,CE-NH (PWD Mahrashtra),"Rehabilitation & up-gradation of Mansar-Ramtek-Salaikhurd , from existing km 75+800 (Mansar) to km 120+100 (Salaikhurd) (Design km. 0.000 to km. 44.000 ) (44.000km) of NH-753 to two lane with paved shoulder configuration in the state of maharashtra on EPC basis mode.",,77.26,67.76,9.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57245
123,57248,CE-NH (PWD Mahrashtra),"Rehabilitation & Ugradation of Wardha-Hinganghat-Jam-Warora Length35.460 km) section of NH-347A from Existing Ch.132+541 (Wardha) to km 169+391 (Hinganghat) (Design Ch. 0+000 to 36+850) to two lanes paved shoulder in the state of Maharashtra on Engineering, Procurement & Construction (EPC) mode in the state of Maharashtra.",,72.917,71.034,1.883,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57248
124,57249,CE-NH (PWD Mahrashtra),Estimate of Up-gradation of NH-753 from Kohamara to Gondia from Km.28.000 to km 42.400 to two lane with paved shoulder with cement concrete on EPC mode in the state of Maharashtra.,,34.4,29.3,5.1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57249
125,57259,(RO Lucknow),Acquisition of Land for providing bypass on NH-931 for amethi city in the state of Uttar Pradesh,,3.0197,0,3.0197,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57259
126,57267,(RO Jaipur),Land Acquisition on the stretch between km. 308.000 to km. 378.115 ( Jodhpur- Pali Section ) of the National Highways No. 65 (New NH 62) in the state of Rajasthan.,,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57267
127,57269,CE-NH (PWD) Gujrat,DUpgradation of Junction with NH-2 near Dhoraji - Kalavad sanction (Package-) of NH-927D from Km. 107+500 of SH-26 (Old) to Km. 48+850 of SH-26 in the state of Gujarat to two/four lane with paved shoulder configuration. (Package no.-NH/IAHE/18),,197.5,136.8925,60.6075,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57269
128,57270,(RO Chennai),Upgradation to 2-lane/4-lane with paved shoulder configuration of Kallakurichi - Thiruvannamalai road (In-Principle NH) in the State of Tamil Nadu,,235.158,62.77,172.388,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57270
129,57273,CE-NH (PWD) Gujrat,Construction of 4-lanes Signature Bridge between Dwarka and Beyt Dwarka and its approaches in the state of Gujarat on EPC Mode.,,12.8427,0,12.8427,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57273
130,57281,CE-NH (PEW) Andhra Pradesh,Consultancy Services for Preparation of Detailed Project Report of 4/6 Lane Access Controlled Green Field Expressway Connecting New Capital City Amaravathi to Ananthapuramu with Connectivity to Kurnool and Kadapa in the state of Andhra Pradesh - Ananthapuramu District (Km. 0.000 to Km. 74.750),,950,0,950,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57281
131,57282,CE-NH (PEW) Andhra Pradesh,Consultancy services for Preparation of Detailed Project Report of 4/6 Lane Access Controlled Green Field Expressway connecting New Capital City Amaravathi to Ananthapuramu with connectivity to Kurnool and Kadapa in the state of Andhra Pradesh - From. Km. 74.750 to Km. 155.550 (Kurnool District),,1010,0,1010,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57282
132,57284,CE-NH (PEW) Andhra Pradesh,Consultancy services for Preparation of Detailed Project Report of 4/6 Lane Access Controlled Green Field Expressway connecting New Capital City Amaravathi to Ananthapuramu with connectivity to Kurnool and Kadapa in the state of Andhra Pradesh - From km. 0.000 to Km. 64.500 (Kadapa District),,810,0,810,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57284
133,57287,RO Vijayawada,Rehabilitation and Up-gradation of Machilipatnam to Avanigadda section from Km 84/550 - 124/200 of NH 214A (New NH 216) to two lane with paved shoulder n the state f AP under NHDPIV through EPC basis,,500,250,250,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57287
134,57288,RO Bhubneswar,Acquisition of land for the Construction of Bypass near Borigumma Town on NH-26 (Old NH-43) in the state of Odisha,,25,0,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57288
135,57293,(RO Lucknow),Rehabilitation and upgradation of Indo Nepal Border to Rudhauli section [Km. 0+000 to Km. 65+870] of NH-233 in Uttar Pradesh,,234.8797,190,44.8797,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57293
136,57306,RO Patna,Construction of 2- lane ROB and its approaches in lieu of existing level crossing ( L.C. NO. 31 SPL )at Km 73 on NH -107 ) in state of Bihar.,,1.887,1.1278,0.7592,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57306
137,57309,CE-NH (PWD) Uttar Pradesh,"Rehabilitation and Up-gradation of Pratapgarh to Allahabad Bypass Road Junction section of NH-96 from existing km 100/800 to km 135/230 [Design Ch. 100.800 to Ch. 135.500] to four lane with paved shoulder in the state of Uttar Pradesh on Engineering, Procurement & Construction (EPC)Basis",,155,145,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57309
138,57310,(RO Lucknow),Rehabilitation and upgradation of Rudhauli to Basti side approach of Ghaghra Bridge section [Km. 65+870 to Km. 122+270] of NH-233 in Uttar Pradesh,,208.0614,176,32.0614,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57310
139,57345,(RO kolkata),Construction OF tWINS 2-Lane ROB and its approaches in replacement of existing level crossing Gate No. KA-38(Rly km 165/21-165/23)between Chandrakona Road &Garbeta station in Kadamdiha at km 159.448 (between km 158.300 and km 161.200) of NH-60 in the state of West Bengal,,42.368,0,42.368,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57345
140,57346,RO Patna,Construction of ROB and its approaches in lieu of existing level crossing ( L C NO. KJ/45 )at Km. 100 on NH -327E in state of Bihar.,,3.425,1.659,1.766,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57346
141,57362,(RO kolkata),"Improvement/upgradation of NH-60 TO 4 Lane from existing km 306+00 (Pandabeshwar) to Km 321+00 (Dubrajpur) in the district of Birbhum , West Bengal.(Bhimgarh ROB) .",,1.558,0,1.558,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57362
142,57364,(RO Jaipur),In Principle Approved NH From Jalore (NH-325) -Bhinmal -Karda -Sanchore (NH-168A) In District Jalore In State of Rajasthan .,,360.024,96.78,263.244,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57364
143,57370,CE-NH (PWD) Uttar Pradesh,Rehabilitation and Up-gradation of Bahraich-Shravasti Section (Km. 248+400 to Km 310+000) of NH-730 to two lane with paved shoulder under EPC mode in the State of Uttar Pradesh,,0.8,0,0.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57370
144,57373,RO Bhubneswar,Detailed Project Report for upgradation of Naranpur (Keonjhar) - Kaliahata - Kankadahada - Kamakhyanagar road in the state of Odisha,,253.876,80.25,173.626,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57373
145,57375,RO Vijayawada,"Rehabilitation and up-gradation of Eppurpalem - Ongole section from Km 195+000 to Km 254+500 of NH-214A (New NH-216 ) to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV through Engineering ,Procurement and Construction (EPC)basis",,201.25,87.49,113.76,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57375
146,57379,(RO Dehradun),Land Acquisition of NH-125 Champawat in the State of Uttarakhand From Km 85.00 tO Km 132.00,,75,50,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57379
147,57381,(RO Dehradun),Land Acquisition of NH-125 Champawat Lohaghat from km 132.00 to km 147.00 in the State of Uttarakhand,,75,50,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57381
148,57390,CE-NH (PWD) Punjab,nangal bridge,,5,3,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57390
149,57393,RO Bhubneswar,Construction of ROB & its approaches in lieu of existing unmanned level crossing at Km 1.30 on NH-217 in the state of Odisha,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57393
150,57395,RO Bhubneswar,Construction of 4-lane ROB including viaduct & approaches at Km 3.7 on NH-217 (Presently known as NH-516) between Gopalpur Port & Chatrapur in the state of Odisha,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57395
151,57400,CE-NH (PEW) Andhra Pradesh,Consultancy services for preparation of Detailed Project Report of 4/6 Lane Access Controlled Green Field Expressway Connecting New Capital City Amaravathi to Ananthapuramu with COnnectivity to Kurnool and Kadapa in the state of Andhra Pradesh - Prakasam District (Km. 155.550 to 281.100),,1510,0,1510,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57400
152,57401,CE-NH (PEW) Andhra Pradesh,Rehabilitation and upgradation of NH-40 from Km 108/850 to Km 160/200 Rayachoty to Kadapa section to two lane with paved shoulders in the state of Andhra Pradesh through EPC Basis,,106.87,96.91,9.96,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57401
153,57402,CE-NH (PEW) Andhra Pradesh,Consultancy Services for Preparation of DPR of 4/6 Lane Access Controlled Green Field Expressway Connecting New Capital City Amaravathi to Ananthapuramu with connectivity to Kurnool and Kadapa in the state of Andhra Pradesh - Prakasam District ( Km. 303.350 to Km. 324.700),,260,0,260,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57402
