project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
618654,2026-01,Roads & Highways,Ministry of Road Transport & Highways,521,168.56,-118.0,1,32.353166986564304,1
618661,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1032,3.91,650.0,0,0.37887596899224807,0
618663,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1004,342.14,-42.0,1,34.07768924302788,0
618664,2026-01,Roads & Highways,Ministry of Road Transport & Highways,525,314.48,-454.0,1,59.90095238095239,1
618665,2026-01,Roads & Highways,Ministry of Road Transport & Highways,791,436.14,-666.0,1,55.13780025284451,1
618667,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1006,14.38,634.0,0,1.4294234592445327,0
618668,2026-01,Roads & Highways,Ministry of Road Transport & Highways,996,100.9,598.0,0,10.130522088353414,0
618671,2026-01,Roads & Highways,Ministry of Road Transport & Highways,618,3.67,688.0,0,0.5938511326860841,0
618672,2026-01,Roads & Highways,Ministry of Road Transport & Highways,903,49.09,643.0,0,5.436323366555925,0
618673,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1368,617.73,-490.0,1,45.155701754385966,1
618674,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1471,694.37,-388.0,1,47.20394289598913,1
618675,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1307,381.96,-108.0,1,29.22417750573833,1
618676,2026-01,Roads & Highways,Ministry of Road Transport & Highways,478,297.95,-679.0,1,62.33263598326359,1
618677,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1540,952.03,-612.0,1,61.82012987012987,1
618678,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1266,843.65,-610.0,1,66.63902053712481,1
618680,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1493,972.27,-471.0,1,65.1219022103148,1
618681,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1216,627.68,-673.0,1,51.61842105263158,1
618687,2026-01,Roads & Highways,Ministry of Road Transport & Highways,652,444.81,-332.0,1,68.22239263803681,1
618688,2026-01,Roads & Highways,Ministry of Road Transport & Highways,795,25.11,618.0,0,3.1584905660377363,0
618689,2026-01,Roads & Highways,Ministry of Road Transport & Highways,364,271.68,-655.0,1,74.63736263736264,0
618691,2026-01,Roads & Highways,Ministry of Road Transport & Highways,939,95.24,572.0,0,10.142705005324814,1
618693,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1345,767.73,-553.0,1,57.08029739776952,1
618694,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1011,340.82,-457.0,1,33.71117705242334,1
618695,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1146,566.31,-848.0,1,49.416230366492144,1
618697,2026-01,Roads & Highways,Ministry of Road Transport & Highways,626,42.5,181.0,0,6.7891373801916926,1
618700,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1863,1336.5,-731.0,1,71.73913043478261,1
618701,2026-01,Roads & Highways,Ministry of Road Transport & Highways,178,142.2,-928.0,1,79.8876404494382,0
618702,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1660,1241.17,-801.0,1,74.76927710843374,1
618707,2026-01,Roads & Highways,Ministry of Road Transport & Highways,738,,718.0,0,,0
618708,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1187,576.14,-220.0,1,48.53748946925021,1
618709,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1340,843.3,-262.0,1,62.93283582089552,1
618710,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2003,1732.22,-816.0,1,86.48127808287569,1
618711,2026-01,Roads & Highways,Ministry of Road Transport & Highways,797,494.54,-454.0,1,62.05018820577165,1
618712,2026-01,Roads & Highways,Ministry of Road Transport & Highways,913,300.71,3.0,0,32.936473165388826,1
618713,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1200,178.28,10.0,0,14.856666666666667,1
618714,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1253,255.75,10.0,0,20.41101356743815,1
618715,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1059,328.75,3.0,0,31.04343720491029,1
618716,2026-01,Roads & Highways,Ministry of Road Transport & Highways,993,279.55,29.0,0,28.15206445115811,1
618717,2026-01,Roads & Highways,Ministry of Road Transport & Highways,751,203.14,29.0,0,27.04926764314248,1
618718,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1092,118.56,372.0,0,10.857142857142858,1
618719,2026-01,Roads & Highways,Ministry of Road Transport & Highways,909,225.97,10.0,0,24.85918591859186,1
618720,2026-01,Roads & Highways,Ministry of Road Transport & Highways,987,254.31,34.0,0,25.765957446808514,1
618721,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1293,255.86,10.0,0,19.788089713843775,1
618722,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1844,611.8,-261.0,1,33.17787418655097,1
618723,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1554,696.34,-260.0,1,44.80952380952381,1
618724,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1719,1.76,515.0,0,0.10238510762070971,0
618725,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1916,0.74,580.0,0,0.038622129436325675,0
618726,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1241,31.87,612.0,0,2.5680902497985496,0
618727,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1577,18.62,612.0,0,1.180722891566265,0
618734,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1154,1.18,606.0,0,0.1022530329289428,0
618735,2026-01,Roads & Highways,Ministry of Road Transport & Highways,910,399.02,-610.0,1,43.848351648351645,1
618737,2026-01,Roads & Highways,Ministry of Road Transport & Highways,304,0.73,693.0,0,0.24013157894736842,0
618738,2026-01,Roads & Highways,Ministry of Road Transport & Highways,6292,457.62,582.0,0,7.273045136681501,1
618739,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1391,282.35,-308.0,1,20.298346513299787,1
618740,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1494,193.54,-212.0,1,12.954484605087014,1
618741,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1858,345.76,-350.0,1,18.60925726587729,1
618744,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1077,663.01,-344.0,1,61.56081708449397,1
618745,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1318,919.36,-296.0,1,69.75417298937785,1
618746,2026-01,Roads & Highways,Ministry of Road Transport & Highways,797,570.64,-458.0,1,71.59849435382685,1
618747,2026-01,Roads & Highways,Ministry of Road Transport & Highways,830,459.37,-492.0,1,55.34578313253012,1
618748,2026-01,Roads & Highways,Ministry of Road Transport & Highways,569,322.23,-493.0,1,56.63093145869947,0
618749,2026-01,Roads & Highways,Ministry of Road Transport & Highways,712,376.2,-493.0,1,52.83707865168539,1
618751,2026-01,Roads & Highways,Ministry of Road Transport & Highways,582,207.21,-141.0,1,35.60309278350516,1
618756,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1104,157.65,-1418.0,1,14.279891304347828,1
618759,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1064,467.68,-134.0,1,43.954887218045116,1
618760,2026-01,Roads & Highways,Ministry of Road Transport & Highways,646,549.19,-579.0,1,85.0139318885449,1
618761,2026-01,Roads & Highways,Ministry of Road Transport & Highways,992,800.68,-349.0,1,80.71370967741936,1
618764,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1033,625.94,-397.0,1,60.594385285576,1
618765,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2147,846.49,-199.0,1,39.42664182580345,1
618769,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1338,68.84,606.0,0,5.144992526158446,0
618770,2026-01,Roads & Highways,Ministry of Road Transport & Highways,516,232.93,-475.0,1,45.14147286821705,0
618771,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1925,947.5,-422.0,1,49.22077922077922,1
618772,2026-01,Roads & Highways,Ministry of Road Transport & Highways,703,354.36,-94.0,1,50.4068278805121,1
618774,2026-01,Roads & Highways,Ministry of Road Transport & Highways,985,798.12,-930.0,1,81.02741116751268,0
618775,2026-01,Roads & Highways,Ministry of Road Transport & Highways,226,0.08,429.0,0,0.035398230088495575,0
618777,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1877,245.99,-74.0,1,13.10548748002131,1
618778,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1877,1104.54,-384.0,1,58.84603090037294,1
618779,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1505,305.2,-557.0,1,20.27906976744186,1
618785,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1501,992.7,-350.0,1,66.1359093937375,1
618787,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1373,751.31,-216.0,1,54.720320466132556,1
618788,2026-01,Roads & Highways,Ministry of Road Transport & Highways,927,338.94,-245.0,1,36.56310679611651,1
618789,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1525,1689.83,-479.0,1,110.80852459016393,0
618791,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1539,0.23,699.0,0,0.014944769330734242,0
618792,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1330,395.59,-45.0,1,29.743609022556388,1
618794,2026-01,Roads & Highways,Ministry of Road Transport & Highways,525,346.35,-867.0,1,65.97142857142858,1
618795,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1475,865.4,-519.0,1,58.67118644067797,1
618796,2026-01,Roads & Highways,Ministry of Road Transport & Highways,829,227.05,-1746.0,1,27.388419782870933,1
618797,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1238,0.53,686.0,0,0.04281098546042004,0
618798,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2556,1241.55,-332.0,1,48.57394366197183,1
618799,2026-01,Roads & Highways,Ministry of Road Transport & Highways,456,382.36,-1151.0,1,83.85087719298245,1
618800,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1617,141.23,109.0,0,8.734075448361162,1
618801,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1389,150.31,109.0,0,10.821454283657307,1
618803,2026-01,Roads & Highways,Ministry of Road Transport & Highways,646,557.23,-169.0,1,86.25851393188854,1
618804,2026-01,Roads & Highways,Ministry of Road Transport & Highways,349,59.91,-1869.0,1,17.16618911174785,1
618807,2026-01,Roads & Highways,Ministry of Road Transport & Highways,609,425.92,-129.0,1,69.9376026272578,1
618809,2026-01,Roads & Highways,Ministry of Road Transport & Highways,810,489.99,-224.0,1,60.4925925925926,1
618810,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1003,581.69,-224.0,1,57.99501495513461,1
618811,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1184,83.29,498.0,0,7.034628378378378,1
618814,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1143,50.62,497.0,0,4.428696412948381,1
618816,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1105,71.86,518.0,0,6.503167420814479,0
618817,2026-01,Roads & Highways,Ministry of Road Transport & Highways,973,138.15,411.0,0,14.1983556012333,1
618819,2026-01,Roads & Highways,Ministry of Road Transport & Highways,183,89.36,-1422.0,1,48.830601092896174,0
618820,2026-01,Roads & Highways,Ministry of Road Transport & Highways,862,344.27,-48.0,1,39.938515081206496,1
618821,2026-01,Roads & Highways,Ministry of Road Transport & Highways,920,366.33,-48.0,1,39.81847826086956,1
618825,2026-01,Roads & Highways,Ministry of Road Transport & Highways,622,339.46,-1505.0,1,54.57556270096463,1
618826,2026-01,Roads & Highways,Ministry of Road Transport & Highways,908,411.28,-194.0,1,45.29515418502202,1
618827,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1098,320.17,-169.0,1,29.15938069216758,1
618828,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1436,826.62,-139.0,1,57.56406685236769,1
618829,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1129,527.11,-848.0,1,46.688219663418955,0
618830,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1518,962.19,-84.0,1,63.38537549407115,1
618833,2026-01,Roads & Highways,Ministry of Road Transport & Highways,894,445.94,-2011.0,1,49.88143176733781,1
618834,2026-01,Roads & Highways,Ministry of Road Transport & Highways,163,162.0,-864.0,1,99.38650306748467,1
618835,2026-01,Roads & Highways,Ministry of Road Transport & Highways,698,418.41,-1225.0,1,59.94412607449857,0
618836,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1985,345.9,-252.0,1,17.425692695214103,1
618837,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1939,390.17,-252.0,1,20.122227952552862,1
618838,2026-01,Roads & Highways,Ministry of Road Transport & Highways,737,395.36,-521.0,1,53.64450474898236,1
618839,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1309,805.51,-1454.0,1,61.53628724216959,1
618840,2026-01,Roads & Highways,Ministry of Road Transport & Highways,664,340.08,-2495.0,1,51.21686746987951,1
618841,2026-01,Roads & Highways,Ministry of Road Transport & Highways,491,325.6,-404.0,1,66.31364562118127,1
618843,2026-01,Roads & Highways,Ministry of Road Transport & Highways,198,21.14,414.0,0,10.676767676767678,1
618845,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1588,283.48,-809.0,1,17.851385390428213,1
618847,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2900,1201.2,-1215.0,1,41.42068965517242,1
618848,2026-01,Roads & Highways,Ministry of Road Transport & Highways,649,0.09,606.0,0,0.01386748844375963,0
618849,2026-01,Roads & Highways,Ministry of Road Transport & Highways,444,394.57,-687.0,1,88.86711711711712,1
618850,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1464,841.02,-2030.0,1,57.446721311475414,1
618852,2026-01,Roads & Highways,Ministry of Road Transport & Highways,191,181.27,-596.0,1,94.90575916230367,1
618854,2026-01,Roads & Highways,Ministry of Road Transport & Highways,706,515.53,-756.0,1,73.0212464589235,0
618855,2026-01,Roads & Highways,Ministry of Road Transport & Highways,839,560.31,-363.0,1,66.78307508939213,1
618856,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1102,312.82,-73.0,1,28.386569872958255,1
618859,2026-01,Roads & Highways,Ministry of Road Transport & Highways,576,371.31,-465.0,1,64.46354166666667,1
618861,2026-01,Roads & Highways,Ministry of Road Transport & Highways,897,697.42,-935.0,1,77.75027870680044,1
618864,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1722,1001.58,-318.0,1,58.16376306620209,1
618865,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1385,823.04,-395.0,1,59.425270758122736,0
618866,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2077,67.78,656.0,0,3.263360616273472,0
618867,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2009,20.92,483.0,0,1.041314086610254,0
618869,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1122,51.98,874.0,0,4.632798573975045,0
618871,2026-01,Roads & Highways,Ministry of Road Transport & Highways,910,1.87,675.0,0,0.20549450549450549,0
618878,2026-01,Roads & Highways,Ministry of Road Transport & Highways,697,288.21,-127.0,1,41.35007173601147,1
618881,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1113,167.97,590.0,0,15.09164420485175,0
618882,2026-01,Roads & Highways,Ministry of Road Transport & Highways,532,0.94,749.0,0,0.17669172932330826,0
618883,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1706,748.02,-213.0,1,43.84642438452521,1
618884,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1494,636.34,-97.0,1,42.59303882195449,1
618885,2026-01,Roads & Highways,Ministry of Road Transport & Highways,618,218.99,-231.0,1,35.435275080906145,1
618886,2026-01,Roads & Highways,Ministry of Road Transport & Highways,239,2.58,610.0,0,1.0794979079497908,0
618887,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2083,861.2,-835.0,1,41.34421507441191,1
618888,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1146,270.48,-279.0,1,23.602094240837697,1
618889,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1323,739.27,-400.0,1,55.87830687830687,1
618890,2026-01,Roads & Highways,Ministry of Road Transport & Highways,739,232.68,-95.0,1,31.48579161028417,1
618894,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1772,211.83,-1155.0,1,11.95428893905192,1
618895,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1319,332.7,-1107.0,1,25.223654283548143,1
618896,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1386,905.16,-480.0,1,65.3073593073593,1
618897,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2356,1011.27,-1996.0,1,42.923174872665534,1
618902,2026-01,Roads & Highways,Ministry of Road Transport & Highways,662,902.44,-1504.0,1,136.3202416918429,1
618903,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1028,814.45,-1877.0,1,79.22665369649806,1
618904,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2128,3.78,-4574.0,1,0.17763157894736842,1
618906,2026-01,Roads & Highways,Ministry of Road Transport & Highways,858,466.87,-591.0,1,54.41375291375291,1
618908,2026-01,Roads & Highways,Ministry of Road Transport & Highways,154,61.82,-365.0,1,40.14285714285714,1
618909,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1652,741.62,-1274.0,1,44.89225181598063,1
618910,2026-01,Roads & Highways,Ministry of Road Transport & Highways,558,444.43,-907.0,1,79.64695340501791,1
618911,2026-01,Roads & Highways,Ministry of Road Transport & Highways,646,146.1,-455.0,1,22.61609907120743,1
618913,2026-01,Roads & Highways,Ministry of Road Transport & Highways,610,114.77,-1693.0,1,18.814754098360655,0
618915,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1637,728.91,-1180.0,1,44.527183872938295,0
618916,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1077,774.78,-1165.0,1,71.93871866295264,0
618919,2026-01,Roads & Highways,Ministry of Road Transport & Highways,887,374.39,-70.0,1,42.20856820744081,0
618921,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1703,848.23,80.0,0,49.80798590722255,1
618925,2026-01,Roads & Highways,Ministry of Road Transport & Highways,301,247.05,-1005.0,1,82.07641196013289,1
618928,2026-01,Roads & Highways,Ministry of Road Transport & Highways,936,282.84,-139.0,1,30.217948717948715,1
618930,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1188,-4.88,663.0,0,-0.4107744107744108,0
618931,2026-01,Roads & Highways,Ministry of Road Transport & Highways,764,0.24,664.0,0,0.031413612565445025,0
618932,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1535,175.29,699.0,0,11.419543973941368,0
618934,2026-01,Roads & Highways,Ministry of Road Transport & Highways,5729,1.16,1452.0,0,0.020247861755978355,0
618935,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1184,452.04,-237.0,1,38.179054054054056,1
618936,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1270,632.77,-359.0,1,49.8244094488189,1
618937,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1167,836.47,-826.0,1,71.67694944301628,1
618938,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1013,546.55,-473.0,1,53.95360315893386,1
618939,2026-01,Roads & Highways,Ministry of Road Transport & Highways,191,14.96,540.0,0,7.832460732984294,0
618942,2026-01,Roads & Highways,Ministry of Road Transport & Highways,227,102.5,-620.0,1,45.15418502202643,1
618943,2026-01,Roads & Highways,Ministry of Road Transport & Highways,861,18.25,-5496.0,1,2.1196283391405344,1
618945,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1149,688.18,-610.0,1,59.89382071366405,1
618946,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1480,866.61,-269.0,1,58.55472972972973,1
618947,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1505,784.64,-942.0,1,52.135548172757474,1
618948,2026-01,Roads & Highways,Ministry of Road Transport & Highways,782,,730.0,0,,0
618949,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1445,643.59,-51.0,1,44.53910034602077,1
618950,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1565,,726.0,0,,1
618951,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1126,474.41,-702.0,1,42.13232682060391,1
618952,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1955,1703.84,-457.0,1,87.15294117647059,0
618953,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1200,864.12,-904.0,1,72.00999999999999,1
618955,2026-01,Roads & Highways,Ministry of Road Transport & Highways,638,125.18,-1549.0,1,19.620689655172416,1
618959,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1018,406.31,-311.0,1,39.912573673870334,0
618960,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1378,298.31,135.0,0,21.648040638606677,1
618961,2026-01,Roads & Highways,Ministry of Road Transport & Highways,776,0.01,686.0,0,0.001288659793814433,0
618962,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1103,11.6,563.0,0,1.0516772438803264,0
618964,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1426,6.6,708.0,0,0.46283309957924257,0
618966,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1123,12.56,557.0,0,1.118432769367765,0
618967,2026-01,Roads & Highways,Ministry of Road Transport & Highways,295,101.52,186.0,0,34.4135593220339,0
618968,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1428,1184.03,-516.0,1,82.91526610644257,1
618969,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2156,1418.57,-346.0,1,65.79638218923934,1
618970,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1335,978.54,-516.0,1,73.29887640449438,1
618971,2026-01,Urban Public Transport,Ministry of Housing & Urban Affairs,3626,0.63,1277.0,0,0.017374517374517374,0
618972,2026-01,Railways,Ministry of Railways,1457,,1038.0,0,,0
618976,2026-01,Electricity Generation,Ministry of Power,20446,1229.69,1520.0,0,6.0143304313802215,0
618977,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1507,18.8,626.0,0,1.2475116124751162,1
618978,2026-01,Railways,Ministry of Railways,2223,,1716.0,0,,0
618982,2026-01,Coal,Ministry of Coal,522,322.61,130.0,0,61.80268199233717,0
618985,2026-01,Urban Public Transport,Ministry of Housing & Urban Affairs,9858,0.09,1795.0,0,0.0009129640900791236,0
618986,2026-01,Railways,Ministry of Railways,3634,0.24,1246.0,0,0.006604292790313704,0
618991,2026-01,Electricity Generation,Ministry of Coal,1221,63.57,334.0,0,5.2063882063882065,0
618992,2026-01,Electricity Generation,Ministry of Coal,481,2.57,334.0,0,0.5343035343035343,0
618995,2026-01,Railways,Ministry of Railways,2865,,1660.0,0,,0
619003,2026-01,Roads & Highways,Ministry of Road Transport & Highways,882,565.49,-1731.0,1,64.11451247165533,1
619004,2026-01,Roads & Highways,Ministry of Road Transport & Highways,561,,686.0,0,,0
619005,2026-01,Roads & Highways,Ministry of Road Transport & Highways,235,,700.0,0,,0
619010,2026-01,Roads & Highways,Ministry of Road Transport & Highways,501,305.45,-268.0,1,60.968063872255485,0
619013,2026-01,Roads & Highways,Ministry of Road Transport & Highways,509,58.12,-118.0,1,11.418467583497053,1
619022,2026-01,Urban Public Transport,Ministry of Housing & Urban Affairs,5453,92.12,521.0,0,1.6893453145057766,0
619024,2026-01,Transmission & Distribution,Ministry of Power,3125,50.79,449.0,0,1.62528,0
619025,2026-01,Transmission & Distribution,Ministry of Power,25000,90.05,1266.0,0,0.36019999999999996,0
619026,2026-01,Transmission & Distribution,Ministry of Power,19000,,1411.0,0,,0
619027,2026-01,Transmission & Distribution,Ministry of Power,2000,,700.0,0,,0
619028,2026-01,Transmission & Distribution,Ministry of Power,173,0.9,567.0,0,0.5202312138728323,0
619029,2026-01,Transmission & Distribution,Ministry of Power,319,12.8,30.0,0,4.012539184952979,1
619030,2026-01,Transmission & Distribution,Ministry of Power,2722,,915.0,0,,0
619031,2026-01,Urban Public Transport,Ministry of Housing & Urban Affairs,12015,2.07,1065.0,0,0.017228464419475654,0
619032,2026-01,Coal,Ministry of Coal,25560,27.5,2251.0,0,0.10758998435054773,0
619033,2026-01,Education,Department of Higher Education,199,31.48,150.0,0,15.819095477386934,0
619038,2026-01,Roads & Highways,Ministry of Road Transport & Highways,497,88.25,-1077.0,1,17.756539235412475,1
619042,2026-01,Roads & Highways,Ministry of Road Transport & Highways,164,,-707.0,1,,0
619049,2026-01,Transmission & Distribution,Ministry of Power,4500,1876.33,211.0,0,41.69622222222222,0
619051,2026-01,Electricity Generation,Ministry of Power,29948,1930.24,1642.0,0,6.445305195672499,0
619052,2026-01,Urban Public Transport,Ministry of Housing & Urban Affairs,5801,,1915.0,0,,0
619053,2026-01,Coal,Ministry of Coal,1605,,1520.0,0,,0
619054,2026-01,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,363,20.47,365.0,0,5.639118457300276,0
619055,2026-01,Coal,Ministry of Coal,444,,2251.0,0,,0
619057,2026-01,Roads & Highways,Ministry of Road Transport & Highways,574,277.82,190.0,0,48.400696864111495,1
619059,2026-01,Roads & Highways,Ministry of Road Transport & Highways,324,65.6,-143.0,1,20.24691358024691,1
619060,2026-01,Roads & Highways,Ministry of Road Transport & Highways,345,46.37,-125.0,1,13.440579710144926,0
619063,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1636,1204.74,-447.0,1,73.6393643031785,1
619064,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1910,521.59,-681.0,1,27.30837696335079,1
619066,2026-01,Roads & Highways,Ministry of Road Transport & Highways,3044,1536.74,-493.0,1,50.48423127463864,1
619067,2026-01,Roads & Highways,Ministry of Road Transport & Highways,357,39.06,-2458.0,1,10.941176470588236,1
619068,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2921,870.3,-224.0,1,29.79459089352961,1
619069,2026-01,Roads & Highways,Ministry of Road Transport & Highways,362,47.18,-1368.0,1,13.033149171270718,1
619070,2026-01,Roads & Highways,Ministry of Road Transport & Highways,839,0.65,-4444.0,1,0.07747318235995233,1
619071,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2032,502.42,-159.0,1,24.7253937007874,0
619072,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1182,773.47,-351.0,1,65.43739424703891,1
619073,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1318,741.65,-1075.0,1,56.27086494688922,1
619074,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1673,8.45,-4441.0,1,0.5050806933652121,1
619075,2026-01,Roads & Highways,Ministry of Road Transport & Highways,639,0.26,-4253.0,1,0.04068857589984351,1
619076,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1581,580.31,-1079.0,1,36.70524984187223,1
619077,2026-01,Roads & Highways,Ministry of Road Transport & Highways,465,18.83,-2136.0,1,4.049462365591397,1
619078,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1773,253.22,-1527.0,1,14.282007896221094,1
619080,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1093,353.01,-113.0,1,32.29734675205855,1
619083,2026-01,Roads & Highways,Ministry of Road Transport & Highways,256,15.29,-6195.0,1,5.97265625,1
619084,2026-01,Roads & Highways,Ministry of Road Transport & Highways,462,0.29,-6134.0,1,0.06277056277056277,1
619086,2026-01,Roads & Highways,Ministry of Road Transport & Highways,852,0.32,-4713.0,1,0.03755868544600939,1
619087,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2070,748.65,-127.0,1,36.166666666666664,0
619089,2026-01,Roads & Highways,Ministry of Road Transport & Highways,1910,1170.02,-16.0,1,61.257591623036646,1
619090,2026-01,Roads & Highways,Ministry of Road Transport & Highways,2068,628.68,-1568.0,1,30.400386847195353,1
619092,2026-01,Roads & Highways,Ministry of Road Transport & Highways,994,416.79,-1288.0,1,41.93058350100603,1
